Timestamp,UNIX,Apparent (VA),Active (W),kettle,vacuum,water_heater,oven,fridge,washing_machine,dryer,aircond
2022-11-07 17:25:58,1667813158,0.0,0.0,0.0,0.0,0.0,2295.7,0.0,0.0,0.0,1617.01
2022-11-07 17:25:59,1667813159,0.0,0.0,0.0,0.0,0.0,2291.49,0.0,0.0,0.0,1617.08
2022-11-07 17:26:00,1667813160,0.0,0.0,0.0,0.0,0.0,2289.02,0.0,0.0,0.0,1618.89
2022-11-07 17:26:01,1667813161,0.0,0.0,0.0,0.0,0.0,2286.89,0.0,0.0,0.0,1623.54
2022-11-07 17:26:02,1667813162,0.0,0.0,0.0,0.0,0.0,2286.5,0.0,0.0,0.0,1619.77
2022-11-07 17:26:03,1667813163,0.0,0.0,0.0,0.0,0.0,2285.17,0.0,0.0,0.0,1616.68
2022-11-07 17:26:04,1667813164,0.0,0.0,0.0,0.0,0.0,2284.39,0.0,0.0,0.0,1612.76
2022-11-07 17:26:05,1667813165,0.0,0.0,0.0,0.0,0.0,2286.44,0.0,0.0,0.0,1614.71
2022-11-07 17:26:06,1667813166,0.0,0.0,0.0,0.0,0.0,2284.27,0.0,0.0,0.0,1612.61
2022-11-07 17:26:07,1667813167,0.0,0.0,0.0,0.0,0.0,2281.89,0.0,0.0,0.0,1612.17
2022-11-07 17:26:08,1667813168,0.0,0.0,0.0,0.0,0.0,2282.21,0.0,0.0,0.0,1609.32
2022-11-07 17:26:09,1667813169,0.0,0.0,0.0,0.0,0.0,2280.93,0.0,0.0,0.0,1608.0
2022-11-07 17:26:10,1667813170,0.0,0.0,0.0,0.0,0.0,2280.08,0.0,0.0,0.0,1605.6
2022-11-07 17:26:11,1667813171,0.0,0.0,0.0,0.0,0.0,2280.76,0.0,0.0,0.0,1605.06
2022-11-07 17:26:12,1667813172,0.0,0.0,0.0,0.0,0.0,2282.43,0.0,0.0,0.0,1605.52
2022-11-07 17:26:13,1667813173,0.0,0.0,0.0,0.0,0.0,2283.39,0.0,0.0,0.0,1607.93
2022-11-07 17:26:14,1667813174,0.0,0.0,0.0,0.0,0.0,2283.32,0.0,0.0,0.0,1612.82
2022-11-07 17:26:15,1667813175,0.0,0.0,0.0,0.0,0.0,2283.09,0.0,0.0,0.0,1611.79
2022-11-07 17:26:16,1667813176,0.0,0.0,0.0,0.0,0.0,2280.23,0.0,0.0,0.0,1610.83
2022-11-07 17:26:17,1667813177,0.0,0.0,0.0,0.0,0.0,2277.07,0.0,0.0,0.0,1602.32
2022-11-07 17:26:18,1667813178,0.0,0.0,0.0,0.0,0.0,2275.68,0.0,0.0,0.0,1599.49
2022-11-07 17:26:19,1667813179,0.0,0.0,0.0,0.0,0.0,2273.2,0.0,0.0,0.0,1598.07
2022-11-07 17:26:20,1667813180,0.0,0.0,0.0,0.0,0.0,2274.68,0.0,0.0,0.0,1595.55
2022-11-07 17:26:21,1667813181,0.0,0.0,0.0,0.0,0.0,2275.76,0.0,0.0,0.0,1596.06
2022-11-07 17:26:22,1667813182,0.0,0.0,0.0,0.0,0.0,2276.56,0.0,0.0,0.0,1593.83
2022-11-07 17:26:23,1667813183,0.0,0.0,0.0,0.0,0.0,2277.67,0.0,0.0,0.0,1595.08
2022-11-07 17:26:24,1667813184,0.0,0.0,0.0,0.0,0.0,2277.03,0.0,0.0,0.0,1597.63
2022-11-07 17:26:25,1667813185,0.0,0.0,0.0,0.0,0.0,2277.16,0.0,0.0,0.0,1595.01
2022-11-07 17:26:26,1667813186,0.0,0.0,0.0,0.0,0.0,2273.92,0.0,0.0,0.0,1595.23
2022-11-07 17:26:27,1667813187,0.0,0.0,0.0,0.0,0.0,2274.14,0.0,0.0,0.0,1595.17
2022-11-07 17:26:28,1667813188,0.0,0.0,0.0,0.0,0.0,2270.95,0.0,0.0,0.0,1594.15
2022-11-07 17:26:29,1667813189,0.0,0.0,0.0,0.0,0.0,2271.41,0.0,0.0,0.0,1595.5
2022-11-07 17:26:30,1667813190,0.0,0.0,0.0,0.0,0.0,2269.5,0.0,0.0,0.0,1594.6
2022-11-07 17:26:31,1667813191,0.0,0.0,0.0,0.0,0.0,2271.79,0.0,0.0,0.0,1594.78
2022-11-07 17:26:32,1667813192,0.0,0.0,0.0,0.0,0.0,2272.95,0.0,0.0,0.0,1594.56
2022-11-07 17:26:33,1667813193,0.0,0.0,0.0,0.0,0.0,2271.79,0.0,0.0,0.0,1596.33
2022-11-07 17:26:34,1667813194,0.0,0.0,0.0,0.0,0.0,2270.77,0.0,0.0,0.0,1596.72
2022-11-07 17:26:35,1667813195,0.0,0.0,0.0,0.0,0.0,2269.69,0.0,0.0,0.0,1592.18
2022-11-07 17:26:36,1667813196,0.0,0.0,0.0,0.0,0.0,2264.22,0.0,0.0,0.0,1591.4
2022-11-07 17:26:37,1667813197,0.0,0.0,0.0,0.0,0.0,2263.91,0.0,0.0,0.0,1589.84
2022-11-07 17:26:38,1667813198,0.0,0.0,0.0,0.0,0.0,2262.75,0.0,0.0,0.0,1588.55
2022-11-07 17:26:39,1667813199,0.0,0.0,0.0,0.0,0.0,2262.6,0.0,0.0,0.0,1589.73
2022-11-07 17:26:40,1667813200,0.0,0.0,0.0,0.0,0.0,2265.58,0.0,0.0,0.0,1588.62
2022-11-07 17:26:41,1667813201,0.0,0.0,0.0,0.0,0.0,2266.32,0.0,0.0,0.0,1590.98
2022-11-07 17:26:42,1667813202,0.0,0.0,0.0,0.0,0.0,2265.91,0.0,0.0,0.0,1588.65
2022-11-07 17:26:43,1667813203,0.0,0.0,0.0,0.0,0.0,2265.56,0.0,0.0,0.0,1590.14
2022-11-07 17:26:44,1667813204,0.0,0.0,0.0,0.0,0.0,2265.24,0.0,0.0,0.0,1590.83
2022-11-07 17:26:45,1667813205,0.0,0.0,0.0,0.0,0.0,2262.37,0.0,0.0,0.0,1603.81
