Sample Rate,Sequence Length,Metric,Appliance,Seq2Point,Seq2Seq
30,99,f1score,washing machine,0.344627,0.250429
30,99,mae,air conditioner,285.304596,235.625214
30,99,mae,electric water heating appliance,266.019897,247.450851
30,99,mae,fridge,25.479801,27.50934
30,99,mae,kettle,127.420471,139.692703
30,99,mae,oven,224.877991,222.520798
30,99,mae,tumble dryer,433.34671,315.391693
30,99,mae,vacuum cleaner,147.99382,117.331375
30,99,mae,washing machine,21.053837,16.625015
30,99,nde,air conditioner,inf,inf
30,99,nde,electric water heating appliance,0.990992,0.986809
30,99,nde,fridge,0.976018,0.996244
30,99,nde,kettle,0.997016,1.177717
30,99,nde,oven,0.971534,0.967438
30,99,nde,tumble dryer,1.039161,0.97181
30,99,nde,vacuum cleaner,0.978123,0.981427
30,99,nde,washing machine,0.938809,0.952898
30,99,rmse,air conditioner,501.474217,320.440151
30,99,rmse,electric water heating appliance,888.533588,884.783519
30,99,rmse,fridge,52.54625,53.635127
30,99,rmse,kettle,301.140891,355.72011
30,99,rmse,oven,566.314869,563.927522
30,99,rmse,tumble dryer,566.87099,530.130232
30,99,rmse,vacuum cleaner,436.227435,437.70065
30,99,rmse,washing machine,26.601624,27.000833
30,199,f1score,air conditioner,0.0,0.0
30,199,f1score,electric water heating appliance,0.132626,0.149254
30,199,f1score,fridge,0.184932,0.0
30,199,f1score,kettle,0.043478,0.079332
30,199,f1score,oven,0.169165,0.204929
30,199,f1score,tumble dryer,0.371429,0.455607
30,199,f1score,vacuum cleaner,0.114664,0.204724
30,199,f1score,washing machine,0.293963,0.255443
30,199,mae,air conditioner,294.501923,207.483368
30,199,mae,electric water heating appliance,264.388062,264.39975
30,199,mae,fridge,27.737207,21.789297
30,199,mae,kettle,166.279602,148.433838
30,199,mae,oven,227.344269,196.522812
30,199,mae,tumble dryer,547.724182,294.352295
30,199,mae,vacuum cleaner,148.858078,120.09594
30,199,mae,washing machine,18.643671,20.751562
30,199,nde,air conditioner,inf,inf
30,199,nde,electric water heating appliance,0.976334,0.967643
30,199,nde,fridge,0.950198,0.987625
30,199,nde,kettle,1.032177,1.247205
30,199,nde,oven,0.970253,0.947902
30,199,nde,tumble dryer,1.439666,0.952877
30,199,nde,vacuum cleaner,0.98127,0.971054
30,199,nde,washing machine,0.93743,1.069882
30,199,rmse,air conditioner,491.386734,340.432595
30,199,rmse,electric water heating appliance,875.391055,867.598734
30,199,rmse,fridge,51.156169,53.171117
30,199,rmse,kettle,311.760939,376.708276
30,199,rmse,oven,565.568326,552.539931
30,199,rmse,tumble dryer,785.349564,519.802487
30,199,rmse,vacuum cleaner,437.630873,433.07469
30,199,rmse,washing machine,26.562552,30.315639
30,599,f1score,air conditioner,0.0,0.0
30,599,f1score,electric water heating appliance,0.137255,0.0
30,599,f1score,fridge,0.20712,0.148515
30,599,f1score,kettle,0.043478,0.368932
30,599,f1score,oven,0.169165,0.0
30,599,f1score,tumble dryer,0.371429,0.376448
30,599,f1score,vacuum cleaner,0.13936,0.0
30,599,f1score,washing machine,0.371429,0.0
30,599,mae,air conditioner,204.460678,354.024994
30,599,mae,electric water heating appliance,269.421967,237.721405
30,599,mae,fridge,28.172848,23.190315
30,599,mae,kettle,124.007782,43.762157
30,599,mae,oven,213.991013,157.590454
30,599,mae,tumble dryer,359.146057,411.410461
30,599,mae,vacuum cleaner,120.784103,106.714966
30,599,mae,washing machine,20.582401,17.557499
30,599,nde,air conditioner,inf,inf
30,599,nde,electric water heating appliance,0.989988,1.000001
30,599,nde,fridge,0.946656,0.959306
30,599,nde,kettle,0.998698,0.984775
30,599,nde,oven,0.974261,1.0
30,599,nde,tumble dryer,0.942261,1.070006
30,599,nde,vacuum cleaner,0.982864,1.0
30,599,nde,washing machine,0.930842,1.031202
30,599,rmse,air conditioner,291.073337,393.92988
30,599,rmse,electric water heating appliance,887.633511,896.611155
30,599,rmse,fridge,50.965476,51.646487
30,599,rmse,kettle,301.648893,297.443416
30,599,rmse,oven,567.904619,582.908065
30,599,rmse,tumble dryer,514.010883,583.697267
30,599,rmse,vacuum cleaner,438.341673,445.984235
30,599,rmse,washing machine,26.375876,29.21961
